iso3,date,year,month,exchange_rate,depreciation,log_depreciation,is_structural_break
CIV,1995-09-30,1995,9,491.449652366483,-0.024513695911076328,-0.02481915890587198,False
CIV,1995-10-31,1995,10,489.99965339216,-0.002950452741884768,-0.0029548139079645696,False
CIV,1995-11-30,1995,11,496.199649006509,0.012653061224488171,0.012573680153026732,False
CIV,1995-12-31,1995,12,489.99965339216,-0.012494961708986785,-0.012573680153026791,False
CIV,1996-01-31,1996,1,512.14963772407,0.045204081632651105,0.04421215977786944,False
CIV,1996-02-29,1996,2,504.599643064661,-0.014741774870641766,-0.014851514675584614,False
CIV,1996-03-31,1996,3,503.149644090337,-0.002873563218391273,-0.0028776998276156146,False
CIV,1996-04-30,1996,4,516.249634823882,0.02603597336778196,0.025702807895899304,False
CIV,1996-05-31,1996,5,519.469632546174,0.006237288135594543,0.0062179167621142905,False
CIV,1996-06-30,1996,6,515.249635531245,-0.008123664504207428,-0.008156841266788303,False
CIV,1996-07-31,1996,7,498.899647096629,-0.031732168850072906,-0.03224654490357686,False
CIV,1996-08-31,1996,8,507.399641084044,0.01703748246141501,0.016893972298189716,False
CIV,1996-09-30,1996,9,517.149634187256,0.019215608986993704,0.019033320658632308,False
CIV,1996-10-31,1996,10,510.649638785115,-0.012568887170066878,-0.012648543799704847,False
CIV,1996-11-30,1996,11,521.499631110227,0.02124742974640159,0.021024850416719126,False
CIV,1996-12-31,1996,12,523.699629554029,0.004218600191755462,0.004209726844615765,False
CIV,1997-01-31,1997,1,551.549609853971,0.053179301126598855,0.05181349512994838,False
CIV,1997-02-28,1997,2,571.149595989657,0.03553621611821156,0.03491937576456467,False
CIV,1997-03-31,1997,3,564.349600799725,-0.011905804079488713,-0.011977245778320739,False
CIV,1997-04-30,1997,4,582.219588159149,0.03166474705413269,0.031173756776055665,False
CIV,1997-05-31,1997,5,575.139593167279,-0.01216035175706709,-0.01223489375549203,False
CIV,1997-06-30,1997,6,587.769584233285,0.02195987064019178,0.0217222254921987,False
CIV,1997-07-31,1997,7,617.409563267047,0.050427888459771086,0.049197593977464066,False
CIV,1997-08-31,1997,8,604.799572186894,-0.020424029413193323,-0.020635484026538375,False
CIV,1997-09-30,1997,9,593.309580314494,-0.018998015873016083,-0.01918079686328017,False
CIV,1997-10-31,1997,10,577.319591625228,-0.026950498053293304,-0.027320322502679687,False
CIV,1997-11-30,1997,11,590.009582648792,0.021980877156515977,0.021742780409309263,False
CIV,1997-12-31,1997,12,598.809576423998,0.014915001440653164,0.014804866564156373,False
CIV,1998-01-31,1998,1,611.219567645624,0.020724436799652857,0.0205126073572012,False
CIV,1998-02-28,1998,2,607.889570001143,-0.0054481201531355605,-0.005463015284681672,False
CIV,1998-03-31,1998,3,618.44956253139,0.017371563934263756,0.017222403275670532,False
CIV,1998-04-30,1998,4,601.99957416751,-0.026598754951896453,-0.02695890251219827,False
CIV,1998-05-31,1998,5,598.019576982815,-0.006611295681062224,-0.006633247101400275,False
CIV,1998-06-30,1998,6,611.739567277795,0.0229423765091461,0.02268315743496221,False
CIV,1998-07-31,1998,7,596.279578213626,-0.02527217445319918,-0.025597000240153395,False
CIV,1998-08-31,1998,8,593.3495802862,-0.004913798886428289,-0.004925911291080526,False
CIV,1998-09-30,1998,9,561.639602716679,-0.053442319035981845,-0.05492336886470629,False
CIV,1998-10-31,1998,10,553.91960817752,-0.013745459725092335,-0.013840803258598603,False
CIV,1998-11-30,1998,11,570.229596640431,0.029444685153091843,0.029019516224910877,False
CIV,1998-12-31,1998,12,562.209602313482,-0.014064500289356574,-0.014164342634195099,False
CIV,1999-01-31,1999,1,576.2095924104005,0.024901727112644156,0.024596732006310965,False
CIV,1999-02-28,1999,2,595.3503358141224,0.0332183699400983,0.032678561737026726,False
CIV,1999-03-31,1999,3,610.6469931111525,0.025693539378141672,0.025369007567256987,False
CIV,1999-04-30,1999,4,619.0025478909125,0.013683117863546368,0.013590349290568732,False
CIV,1999-05-31,1999,5,627.3498469778118,0.013485080336648858,0.013394965870778172,False
CIV,1999-06-30,1999,6,635.1249031758327,0.012393493415956636,0.012317322777579461,False
CIV,1999-07-31,1999,7,613.387881054797,-0.03422479895268393,-0.03482418298219864,False
CIV,1999-08-31,1999,8,620.4076421072543,0.011444244774425405,0.011379254776150333,False
CIV,1999-09-30,1999,9,615.0557899671824,-0.008626347866854234,-0.008663770172924459,False
CIV,1999-10-31,1999,10,627.5298957237158,0.020281258968717353,0.02007833337274403,False
CIV,1999-11-30,1999,11,649.655343171239,0.035257997424977594,0.03465066852838599,False
CIV,1999-12-31,1999,12,652.9534142942465,0.005076647421859537,0.005063804694331108,False
